,Company Name,Market_Cap,weights,index
0,Kama Holdings,6355.83,0.4634539031139597,BOM532468
1,Kingfa Science,1428.91,0.1041931449863461,BOM524019
2,Wim Plast,702.2,0.05120296338426649,BOM526586
3,Kkalpana Ind,430.85,0.031416685807620644,BOM526409
4,Caprihans,212.51,0.015495787167175265,BOM509486
5,Arrow Greentech,210.76,0.015368180807274288,BOM516064
6,Captain Poly,176.33,0.012857616823622487,BOM536974
7,Commercial Syn,167.16,0.012188959497741365,BOM539986
8,Premier Polyfil,156.28,0.011395612528757003,BOM514354
9,Bright Brothers,118.12,0.00861306470371626,BOM526731
10,Tokyo Plast,103.57,0.007552108968539561,BOM500418
11,Tainwala Chem,98.32,0.007169289888836629,BOM507785
12,Vinyoflex,12.09,0.0008815776521158955,BOM530401
13,Royal Cushion,9.83,0.0007167831530437761,BOM526193
14,Kuwer Ind,7.61,0.0005549053707693933,BOM530421
15,CDG PETCHEM,7.37,0.0005374050699829735,BOM534796
