,Company Name,Market_Cap,weights,index
0,Supreme Ind,26802.03,0.7431777704636384,BOM509930
1,Nilkamal,3762.86,0.10433813802039646,BOM523385
2,Time Techno,1870.23,0.051858510779004816,BOM532856
3,Mold-Tek Pack,1507.11,0.04178976926909842,BOM533080
4,Pil Italica,186.36,0.005167467139750372,BOM500327
5,Prima Plastics,175.29,0.004860513602311884,BOM530589
6,OK Play,57.91,0.0016057524257509336,BOM526415
7,National Plasti,43.46,0.0012050768506844342,BOM526616
8,National Plasti,43.46,0.0012050768506844342,BOM531287
9,MPL Plastics,8.71,0.00024151448157987626,BOM526143
