,Company Name,Market_Cap,weights,index
0,Astral Ltd,40422.64,0.6558102174788777,BOM532830
1,Finolex Ind,10954.52,0.1777243184407727,BOM500940
2,Prince Pipes,7641.84,0.12397994669172491,BOM542907
3,Jain Irrigation,1603.26,0.02601102474442999,BOM500219
4,Jain Irrigation,1603.26,0.02601102474442999,BOM570004
5,Kriti Ind,566.47,0.009190315474082342,BOM526423
6,Texmo Pipes,155.76,0.0025270244465603925,BOM533164
7,Dutron Polymers,141.54,0.002296321521354378,BOM517437
8,Kisan Mouldings,61.63,0.0009998749142367553,BOM530145
9,Tijaria Polypip,23.39,0.0003794754866785284,BOM533629
10,Kunststoffe Ind,17.64,0.00028618843886315696,BOM523594
11,Arcee Ind,5.12,8.306603214168728e-05,BOM520121
12,Ashish Polyplas,4.25,6.895129621136151e-05,BOM530429
