,Company Name,Market_Cap,weights,index
0,Indiamart Inter,21986.35,0.6876740778273523,BOM542726
1,Navneet,2214.32,0.06925799252784856,BOM508989
2,MPS,1132.92,0.03543469999577757,BOM517296
3,MPS,1132.92,0.03543469999577757,BOM517500
4,MPS,1132.92,0.03543469999577757,BOM530711
5,MPS,1132.92,0.03543469999577757,BOM531431
6,MPS,1132.92,0.03543469999577757,BOM531591
7,MPS,1132.92,0.03543469999577757,BOM532440
8,HT Media,736.65,0.023040436881588765,BOM532662
9,Sandesh,715.5,0.022378921589325678,BOM526725
10,Hindustan Media,656.41,0.020530744822430842,BOM533217
11,S Chand and Co,470.42,0.014713476301957493,BOM540497
12,Repro India,425.95,0.01332257393567194,BOM532687
13,Sambhaav Media,74.15,0.002319213187768692,BOM511630
14,Next Mediaworks,38.73,0.0012113705564704173,BOM532416
15,Diligent Media,31.19,0.0009755395728456575,BOM540789
16,Infomedia Press,28.26,0.0008838970288111024,BOM509069
17,Cyber Media,18.57,0.0005808198098026246,BOM532640
18,Nova Publicat,8.16,0.0002552229212702971,BOM530733
19,Olympic Cards,4.53,0.00014168625408755462,BOM534190
