,Company Name,Market_Cap,weights,index
0,Avenue Supermar,221215.06,0.7619793898607083,BOM540376
1,Trent,31816.13,0.10959125172187184,BOM500251
2,Aditya Birla F,19485.01,0.06711647946224729,BOM535755
3,V-Mart Retail,6638.61,0.022866815655874412,BOM534976
4,Future Retail,3419.1,0.011777153562116196,BOM540064
5,Shoppers Stop,2713.74,0.009347527918942763,BOM532638
6,Future Ent,495.87,0.001708033440626644,BOM523574
7,Future Ent,495.87,0.001708033440626644,BOM570002
8,V2 Retail,426.08,0.0014676404871885784,BOM532867
9,White Organic,267.63,0.0009218565142374185,BOM513713
10,White Organic,267.63,0.0009218565142374185,BOM542667
11,Future Market,93.8,0.0003230958451424349,BOM533296
12,Mandhana Retail,45.93,0.00015820673952443535,BOM540210
13,Taaza Inter,3.54,1.2193595861452234e-05,BOM537392
