,Company Name,Market_Cap,weights,index
0,Tata Elxsi,26488.97,0.3779573386716475,BOM500408
1,Tanla Platforms,13194.86,0.18827059601581242,BOM532790
2,Newgen Software,4183.7,0.05969503977695514,BOM540900
3,Subex,3526.57,0.05031879351440512,BOM532348
4,Brightcom Group,2646.94,0.0377678104518043,BOM532368
5,Nucleus Softwar,2017.31,0.02878394738926055,BOM531209
6,Ramco System,1927.42,0.027501353722040035,BOM532370
7,Cigniti Tech,1699.41,0.02424799759718798,BOM534758
8,OnMobile Global,1502.53,0.02143881925474303,BOM532944
9,Moschip Tech,790.34,0.011276950483380435,BOM532407
10,Saksoft,715.63,0.01021095234256338,BOM590051
11,63 Moons Tech,513.31,0.007324153468917189,BOM526881
12,aurionPro Sol,467.86,0.006675651052906813,BOM532668
13,ABM Knowledg,289.23,0.004126872470466032,BOM531161
14,Virinchi,283.51,0.004045256764864726,BOM532372
15,Mindteck,265.63,0.0037901363424606435,BOM517344
16,Intense Tech,232.77,0.0033212740896531416,BOM532326
17,Eco Recycling,223.84,0.003193856563251103,BOM530643
18,Ceinsys Tech,176.76,0.0025220965248403545,BOM538734
19,GSS Infotech,132.02,0.0018837247296301404,BOM532951
20,TechNVision,127.76,0.001822941004829168,BOM501421
21,Compucom Soft,119.08,0.0016990905984271862,BOM532339
22,Odyssey Tech,83.45,0.0011907046560190517,BOM530175
23,Globalspace Tec,80.43,0.0011476138464183623,BOM540654
24,Trejhara,75.8,0.0010815507840173052,BOM542233
25,Prithvi Exc,23.06,0.0003290311488052646,BOM531688
26,NINtec SYSTEMS,19.95,0.0002846561760045546,BOM539843
27,California Soft,19.01,0.00027124380480434004,BOM532386
28,Parle Indus,12.94,0.00018463413120295422,BOM532911
29,Svam Software,7.82,0.00011157951360178531,BOM523722
30,Advent Computer,7.13,0.00010173426240162778,BOM531429
31,Twinstar Ind,6.95,9.916593600158669e-05,BOM531917
32,Firstobject Tec,6.5,9.274512000148396e-05,BOM532379
33,SIT,6.37,9.089021760145428e-05,BOM501386
34,SIT,6.37,9.089021760145428e-05,BOM506196
35,SIT,6.37,9.089021760145428e-05,BOM509635
36,SIT,6.37,9.089021760145428e-05,BOM512589
37,SIT,6.37,9.089021760145428e-05,BOM524138
38,SIT,6.37,9.089021760145428e-05,BOM526773
39,SIT,6.37,9.089021760145428e-05,BOM530723
40,SIT,6.37,9.089021760145428e-05,BOM532795
41,SIT,6.37,9.089021760145428e-05,BOM532961
42,SIT,6.37,9.089021760145428e-05,BOM539178
43,SIT,6.37,9.089021760145428e-05,BOM539543
44,Omni Axs Soft,5.01,7.148508480114378e-05,BOM532340
45,Melstar Info,4.78,6.820333440109129e-05,BOM532307
46,Hit Kit Global,2.59,3.69553632005913e-05,BOM532359
47,Archana Soft,2.35,3.353092800053651e-05,BOM530565
