,Company Name,Market_Cap,weights,index
0,Balrampur Chini,7199.85,0.15630535930140468,BOM500038
1,Shree Renuka,7109.16,0.15433652202909423,BOM532670
2,Dhampur Sugar,2348.46,0.05098396273602601,BOM500119
3,Bajaj Hindustha,2209.83,0.047974370597307324,BOM500032
4,Andhra Sugar,1463.78,0.031777975768691034,BOM590062
5,Dwarikesh Sugar,1454.63,0.03157933356953302,BOM532610
6,Avadh Sugar,973.0,0.021123372653634002,BOM540649
7,Uttam Sugar,835.61,0.01814070033206897,BOM532729
8,DCM Shriram Ind,784.41,0.017029172397982576,BOM523369
9,Vishwaraj Sugar,561.46,0.012189032692815361,BOM542852
10,Magadh Sugar,473.83,0.010286626582190542,BOM540650
11,Rana Sugars,449.95,0.009768203006683062,BOM507490
12,Mawana Sugars,392.73,0.008525983702221667,BOM523371
13,Ugar Sugar Work,383.06,0.008316052547483084,BOM530363
14,KCP Sugar,299.34,0.006498530699012129,BOM533192
15,Sakthi Sugars,226.41,0.004915254678837897,BOM507315
16,Simbhaoli Sugar,149.43,0.0032440550623150347,BOM507446
17,Simbhaoli Sugar,149.43,0.0032440550623150347,BOM539742
18,Rajshree Sugars,80.7,0.0017519590679838273,BOM500354
19,Dharani Sugars,78.35,0.0017009416725716586,BOM507442
20,Dhampure Specia,25.58,0.0005553297764439442,BOM531923
21,Ravalgaon Sugar,13.14,0.00028526322370889083,BOM507300
