,Company Name,Market_Cap,weights,index
0,CCL Products,5609.79,0.06778864088112581,BOM519600
1,Tata Coffee,3886.69,0.04696671936494287,BOM532301
2,Rossell India,690.44,0.008343269393322122,BOM533168
3,Mcleod,320.16,0.0038688099312988973,BOM532654
4,Warren Tea,110.78,0.0013386643059385675,BOM508494
5,Warren Tea,110.78,0.0013386643059385675,BOM538564
6,Terai Tea Co,39.56,0.00047804260645359934,BOM530533
7,Kanco Tea,35.89,0.000433694366673905,BOM541005
8,Kanco Tea,35.89,0.000433694366673905,BOM590130
9,Tyroon Tea,26.2,0.00031660051286866285,BOM526945
10,Retro Green Rev,13.91,0.00016808828755737024,BOM519191
11,Cochin Malabar,8.67,0.00010476818498363767,BOM508571
12,Longview Tea,4.96,5.993658564231175e-05,BOM526568
