,Company Name,Market_Cap,weights,index
0,Lakshmi Machine,8283.33,0.8876074237585994,BOM500252
1,Stovec Ind,560.53,0.060064079209618315,BOM504959
2,Indian Card,128.15,0.013732024602987508,BOM509692
3,Meera Industrie,90.56,0.00970403549002379,BOM540519
4,Veejay Lakshmi,23.33,0.0024999464220655365,BOM522267
5,HTE,11.59,0.0012419365208632478,BOM523021
6,CM,2.97,0.0003182529307130152,BOM502820
7,CM,2.97,0.0003182529307130152,BOM511611
8,CM,2.97,0.0003182529307130152,BOM517326
9,CM,2.97,0.0003182529307130152,BOM517330
10,CM,2.97,0.0003182529307130152,BOM523367
11,CM,2.97,0.0003182529307130152,BOM523369
12,CM,2.97,0.0003182529307130152,BOM524156
13,CM,2.97,0.0003182529307130152,BOM535431
14,CM,2.97,0.0003182529307130152,BOM535917
15,CM,2.97,0.0003182529307130152,BOM538319
16,CM,2.97,0.0003182529307130152,BOM539391
17,CM,2.97,0.0003182529307130152,BOM542729
