,Company Name,Market_Cap,weights,index
0,Page Industries,37276.41,0.2147926155622671,BOM532827
1,Welspun India,12775.08,0.07361204706186047,BOM514162
2,Alok Industries,12661.36,0.07295677429708133,BOM521070
3,Lux Industries,12190.91,0.07024596641640644,BOM539542
4,Trident,8968.88,0.05168011602684126,BOM521064
5,Trident,8968.88,0.05168011602684126,BOM531972
6,Trident,8968.88,0.05168011602684126,BOM540726
7,Garware Technic,7105.85,0.04094504023571839,BOM509557
8,Indo Count,4467.15,0.025740430277727423,BOM521016
9,Swan Energy,3480.66,0.020056117670209133,BOM503310
10,PDS Multi,3177.7,0.018310413864216432,BOM538730
11,Raymond,2986.16,0.017206729856427145,BOM500330
12,Arvind,2712.23,0.01562830153725768,BOM500101
13,Arvind,2712.23,0.01562830153725768,BOM524760
14,Arvind,2712.23,0.01562830153725768,BOM531823
15,Arvind,2712.23,0.01562830153725768,BOM539301
16,Arvind,2712.23,0.01562830153725768,BOM542484
17,Himatsingka Sei,2369.37,0.013652687571972964,BOM514043
18,Filatex India,2209.08,0.012729071044832185,BOM526227
19,Mayur Uniquoter,2190.32,0.012620972934849274,BOM522249
20,Bombay Dyeing,2127.31,0.012257899272268074,BOM500020
21,Siyaram Silk,1888.86,0.010883912367927698,BOM503811
22,Dollar Ind,1785.42,0.010287874601582687,BOM541403
23,Jindal Worldwid,1550.02,0.008931462283353606,BOM531543
24,Future Life,1450.76,0.008359510343220137,BOM536507
25,Indo Rama Synth,1385.21,0.007981800795811827,BOM500207
26,Sutlej Textiles,1211.51,0.006980913711375161,BOM532782
27,Nahar Spinning,1190.15,0.006857833987002293,BOM500296
28,Kitex Garments,1150.12,0.0066271747469907796,BOM521248
29,Kewal Kiran,1133.23,0.006529851875049875,BOM532732
30,Ganesha Ecosph,1095.94,0.006314980951741623,BOM514167
31,Nitin Spinners,1092.92,0.0062975792304117515,BOM532698
32,Rajapalayam,980.0,0.005646916193137207,BOM532503
33,Sportking India,964.04,0.005554952129420401,BOM539221
34,Century Enka,947.11,0.005457398771104266,BOM500280
35,RSWM,854.54,0.004923995677228029,BOM500350
36,Gokaldas Export,804.5,0.0046356572218151865,BOM532630
37,Monte Carlo,734.02,0.004229540228659768,BOM538836
38,Pearl Global In,679.92,0.0039178074061610715,BOM532808
39,Vishal Fabrics,663.64,0.0038239994514424245,BOM538598
40,Ruby Mills,464.65,0.002677387356266534,BOM503169
41,Mallcom (India),402.48,0.0023191539075651667,BOM539400
42,AYM Syntex,380.77,0.002194057427409035,BOM508933
43,Ashima,378.53,0.00218115019039615,BOM514286
44,Binny,368.27,0.0021220304351496316,BOM514215
45,Binny,368.27,0.0021220304351496316,BOM535620
46,Banswara Syntex,354.64,0.0020434922027899784,BOM503722
47,Zodiac Clothing,341.06,0.0019652420783993632,BOM521163
48,Nandan Denim,334.42,0.0019269813401111683,BOM532641
49,Sarla Performan,332.76,0.0019174161555391195,BOM526885
50,JCT,324.76,0.0018713188804931015,BOM500222
51,JCT,324.76,0.0018713188804931015,BOM500223
52,Bombay Rayon,316.84,0.0018256825781975434,BOM532678
53,Ginni Filaments,315.41,0.001817442690283068,BOM590025
54,Shri Dinesh Mil,302.43,0.0017426498615209036,BOM503804
55,Surat Textile,301.56,0.0017376367828596492,BOM530185
56,JBF Industries,296.79,0.001710151282613461,BOM514034
57,Maral Overseas,293.67,0.001692173345345514,BOM521018
58,Donear Ind,280.8,0.0016180143541152324,BOM512519
