,Company Name,Market_Cap,weights,index
0,Vardhman Text,10336.07,0.4429961353820623,BOM502986
1,RITES,6680.39,0.2863164580778744,BOM519097
2,RITES,6680.39,0.2863164580778744,BOM523100
3,RITES,6680.39,0.2863164580778744,BOM526407
4,RITES,6680.39,0.2863164580778744,BOM541556
5,TCNS Clothing C,3587.38,0.15375239101001664,BOM541700
6,Cantabil Retail,683.96,0.029314007814954364,BOM533267
7,Voith Paper Fab,516.56,0.02213937054344234,BOM522122
8,Shubham Polyspi,153.62,0.0065840369035225586,BOM542019
9,Bella Casa,151.24,0.0064820319052776455,BOM539399
10,Globus Constr,126.26,0.005411408016135649,BOM526025
11,Faze Three Auto,120.1,0.005147395079501753,BOM532459
12,Standard Ind,115.79,0.004962671742343947,BOM530017
13,NIBE,70.22,0.003009576040654564,BOM535136
14,Axita Cotton,48.48,0.002077816098703122,BOM542285
15,Sky Industries,43.78,0.001876377656790897,BOM526479
16,Osiajee,23.81,0.0010204785748787405,BOM540198
17,Tatia Global,22.89,0.0009810480713554966,BOM521228
18,Prime Urban Dev,22.65,0.0009707618530450849,BOM521149
19,Olympia Ind,20.03,0.0008584706364897595,BOM521105
20,Advance Syntex,13.16,0.0005640276373542304,BOM539982
21,Salguti Ind,12.06,0.0005168824700981777,BOM526554
22,Golden Carpe,3.39,0.00014529283363456239,BOM531928
