,Company Name,Market_Cap,weights,index
0,Adani Enterpris,154363.84,0.7364625885262215,BOM512599
1,Sundram,15990.77,0.0762912082695497,BOM500403
2,Redington,12592.25,0.06007702989488544,BOM532805
3,MMTC Ltd,7305.0,0.03485180991341009,BOM513377
4,Apollo Tricoat,4556.96,0.021741040890213992,BOM538566
5,MSTC,2108.83,0.010061128309335605,BOM542597
6,SVP Global,1375.69,0.006563352002707614,BOM505590
7,Yaarii Digital,973.65,0.004645238154988601,BOM533520
8,Shree Global,954.09,0.00455191831899869,BOM512463
9,Uniphos Ent,952.78,0.004545668370882801,BOM500429
10,Hexa Tradex,748.29,0.0035700562409453295,BOM534328
11,Quint Digital,711.21,0.003393149312596357,BOM539515
12,Grandeur Prod,479.71,0.002288673748605332,BOM539235
13,Veritas,455.64,0.002173836915666827,BOM512229
14,Mishtann Foods,406.0,0.0019370068206494859,BOM539594
15,Sat Ind,356.78,0.0017021805257914373,BOM511076
16,Race Eco Chain,348.53,0.001662820165519619,BOM537785
17,PTL Enterprises,347.82,0.0016594327890598626,BOM509220
18,Kothari Product,340.07,0.0016224579051681543,BOM530299
19,SEL,304.93,0.0014548066251740092,BOM530075
20,SEL,304.93,0.0014548066251740092,BOM531324
21,SEL,304.93,0.0014548066251740092,BOM532123
22,SEL,304.93,0.0014548066251740092,BOM532654
23,SEL,304.93,0.0014548066251740092,BOM532886
24,SEL,304.93,0.0014548066251740092,BOM533044
25,SEL,304.93,0.0014548066251740092,BOM533168
26,SEL,304.93,0.0014548066251740092,BOM535503
27,SEL,304.93,0.0014548066251740092,BOM538875
28,SEL,304.93,0.0014548066251740092,BOM539447
29,SEL,304.93,0.0014548066251740092,SPBMDSIP
30,SEL,304.93,0.0014548066251740092,SPBSSSIP
31,ABans Enterpris,198.78,0.0009483699896766128,BOM512165
32,Anmol India,191.4,0.0009131603583061863,BOM542437
33,A-1 Acid,157.9,0.0007533334408388025,BOM542012
34,Signet Ind,156.16,0.000745031983036019,BOM512131
35,Proseed India,148.25,0.0007072937467026756,BOM590057
36,Ausom Enterp,132.01,0.0006298134738766961,BOM509009
37,Maximus Interna,123.21,0.0005878290895867565,BOM540401
38,HKG,113.75,0.0005426958764750715,BOM539097
39,Competent Auto,113.12,0.0005396901762361327,BOM531041
40,Sicagen India,94.97,0.00045309738363813224,BOM533014
41,Khemani Distrib,85.0,0.0004055309846187347,BOM539788
42,Cravatex,82.69,0.0003945100837426256,BOM509472
43,Lahoti Over,75.85,0.000361876766862718,BOM531842
44,Biogen Pharmach,58.08,0.0002770969363136013,BOM531752
45,Anand Rayons,53.2,0.00025381468684372577,BOM542721
46,Mishka Exim,49.42,0.0002357804854100926,BOM539220
47,Remedium Lifeca,45.0,0.0002146928742099184,BOM539561
48,Thacker,42.52,0.0002028609113645718,BOM509945
