Scrip Code	Company	LTP	Change Val	Pts Contribution
500209	INFY*	1555.00	-25.30	-82.56
532281	HCLTECH	1004.90	-35.10	-33.93
532540	TCS	3194.65	-6.85	-6.32
500408	TATAELXSI	4302.55	-184.65	-5.64
532755	TECHM	1103.00	-9.15	-5.06
540005	LTI	4288.00	-129.30	-4.83
500483	TATACOMM	1360.35	-29.20	-3.04
532790	TANLA	929.95	-21.70	-1.21
535648	JUSTDIAL	1073.30	-33.70	-1.04
505537	ZEEL	209.00	-0.75	-0.65
532800	TV18BRDCST	41.95	-0.45	-0.27
532839	DISHTV	14.37	-0.18	-0.15
532798	NETWORK18	51.50	-0.50	-0.09
532706	INOXLEISUR	311.90	-1.55	-0.08
532374	STLTECH	300.30	-0.20	-0.04
542752	AFFLE	4387.60	-1.85	-0.02
508989	NAVNETEDUL*	98.20	+0.40	+0.03
533179	PERSISTENT	2843.35	+1.25	+0.05
523610	ITI	136.15	+3.65	+0.06
532689	PVR	1369.35	+1.55	+0.06
532819	MINDTREE	2736.55	+4.60	+0.17
532733	SUNTV	534.10	+2.50	+0.18
526299	MPHASIS	2395.75	+5.65	+0.41
500183	HFCL	80.15	+1.65	+1.03
507685	WIPRO	577.65	+1.90	+2.41
532822	IDEA	9.45	+0.68	+4.87
534816	INDUSTOWER	240.70	+6.20	+5.20
532454	BHARTIARTL	541.00	+15.45	+33.24
