Scrip Code	Company	LTP	Change Val	Pts Contribution
532454	BHARTIARTL	541.00	+15.45	+27.43
534816	INDUSTOWER	240.70	+6.20	+4.30
532822	IDEA	9.45	+0.68	+4.02
500183	HFCL	80.15	+1.65	+0.86
532712	RCOM	4.04	+0.19	+0.36
523610	ITI	136.15	+3.65	+0.05
532944	ONMOBILE	145.00	+1.20	+0.05
532374	STLTECH	300.30	-0.20	-0.03
540602	GTPL	199.15	-1.50	-0.03
540595	TEJASNET	184.80	-2.35	-0.07
517015	VINDHYATEL	1340.85	-21.95	-0.09
500108	MTNL	22.00	-0.85	-0.17
500483	TATACOMM	1360.35	-29.20	-2.51
