Scrip Code	Company	LTP	Change Val	Pts Contribution
532898	POWERGRID	233.80	+3.45	+7.63
539254	ADANITRANS	1010.15	+27.85	+6.61
532702	GSPL	337.05	+14.95	+3.71
533148	JSWENERGY	193.70	+5.00	+1.78
533096	ADANIPOWER	105.25	+1.35	+0.86
540750	IEX	412.95	+3.75	+0.72
533122	RTNPOWER	7.63	+0.36	+0.62
532155	GAIL	144.85	+0.40	+0.62
500084	CESC	836.40	+6.30	+0.36
532430	BFUTILITIE	502.30	+20.35	+0.27
517300	GIPCL	90.85	+4.30	+0.21
532779	TORNTPOWER	480.75	+0.85	+0.13
532524	PTC	103.55	+0.20	+0.05
513023	NBVENTURES*	115.40	+0.15	+0.01
533269	WABAG	361.95	-0.95	-0.03
513683	NLCINDIA	60.05	-0.20	-0.03
522275	GET&D	138.25	-1.50	-0.08
500390	RELINFRA	80.00	-0.65	-0.11
532939	RPOWER	13.02	-0.10	-0.17
532627	JPPOWER	5.87	-0.13	-0.20
533206	SJVN	27.95	-0.55	-0.24
533098	NHPC	25.95	-0.15	-0.32
500400	TATAPOWER	124.15	-0.25	-0.35
539957	MGL	1152.20	-9.15	-0.44
532514	IGL	552.50	-7.75	-2.34
532555	NTPC	119.10	-1.25	-5.12
