Date,Open,High,Low,Close
31-05-2013,16.040001,17.209999,15.88,16.99
03-06-2013,16.99,17.92,16.99,17.290001
04-06-2013,17.290001,17.549999,16.719999,17.26
05-06-2013,16.790001,17.5,16.780001,16.780001
06-06-2013,16.780001,17.52,16.59,17.35
07-06-2013,17.35,17.51,16.780001,17.35
10-06-2013,17.35,18.629999,17.040001,18.110001
11-06-2013,17.41,19.59,17.41,19.49
12-06-2013,19.49,19.85,18.75,18.85
13-06-2013,18.85,19.77,17.76,19.440001
14-06-2013,19.440001,19.440001,17.65,18.35
17-06-2013,18.280001,19.35,18.129999,18.18
18-06-2013,17.889999,18.85,17.889999,18.290001
19-06-2013,18.290001,18.68,17.75,18.459999
20-06-2013,18.459999,19.74,17.85,19.190001
21-06-2013,19.190001,19.73,18.190001,19.030001
24-06-2013,19.030001,21.790001,18.48,21.01
25-06-2013,21.01,22.110001,20.33,21.139999
26-06-2013,21.139999,21.219999,20.08,21.07
27-06-2013,21.07,21.07,18.620001,18.85
28-06-2013,18.85,18.85,17.620001,17.950001
01-07-2013,17.950001,18.719999,17.950001,18.09
02-07-2013,18.09,18.549999,17.98,18.209999
03-07-2013,18.209999,19.129999,17.809999,18.91
04-07-2013,18.91,19.0,18.0,18.58
05-07-2013,18.58,19.01,17.75,18.67
08-07-2013,18.67,19.85,18.379999,19.34
09-07-2013,19.34,19.530001,18.41,19.32
10-07-2013,19.32,20.110001,18.33,19.98
11-07-2013,19.98,19.98,18.129999,18.889999
12-07-2013,18.889999,18.959999,17.68,18.690001
15-07-2013,18.690001,19.540001,17.629999,18.790001
16-07-2013,18.790001,19.82,17.790001,18.99
17-07-2013,18.99,19.59,17.76,19.360001
18-07-2013,19.360001,19.4,18.07,18.27
19-07-2013,18.27,18.280001,17.709999,18.129999
22-07-2013,18.030001,18.66,17.620001,17.629999
23-07-2013,17.629999,17.629999,16.43,16.719999
24-07-2013,16.719999,18.049999,16.6,16.91
25-07-2013,16.98,17.09,16.18,16.719999
26-07-2013,16.540001,17.049999,16.27,16.780001
29-07-2013,16.780001,18.42,16.780001,18.25
30-07-2013,18.25,18.459999,17.059999,18.120001
31-07-2013,18.120001,19.290001,18.120001,18.77
01-08-2013,18.77,20.9,17.719999,19.809999
02-08-2013,19.809999,21.219999,19.0,20.889999
05-08-2013,20.889999,21.620001,20.559999,20.799999
06-08-2013,20.799999,22.75,20.32,22.73
07-08-2013,22.73,23.280001,21.860001,22.040001
08-08-2013,22.040001,22.040001,20.59,21.190001
12-08-2013,21.190001,21.99,20.17,21.280001
13-08-2013,20.26,21.110001,19.07,19.26
14-08-2013,19.26,19.620001,18.27,18.700001
16-08-2013,18.700001,24.76,18.07,23.639999
19-08-2013,23.639999,26.99,23.639999,25.59
20-08-2013,25.59,27.43,24.860001,27.23
21-08-2013,27.23,29.959999,24.25,28.09
22-08-2013,28.09,29.860001,27.99,29.059999
23-08-2013,27.68,27.84,25.34,25.75
26-08-2013,25.75,27.43,24.719999,26.379999
27-08-2013,26.379999,30.040001,25.969999,29.42
28-08-2013,29.42,36.02,29.42,32.380001
29-08-2013,32.380001,32.439999,28.83,29.41
30-08-2013,29.41,30.309999,27.110001,27.809999
02-09-2013,27.809999,28.549999,26.969999,27.549999
03-09-2013,27.549999,32.66,26.76,32.490002
04-09-2013,32.490002,33.02,30.83,31.110001
05-09-2013,31.110001,31.110001,27.51,28.530001
06-09-2013,28.530001,29.280001,27.629999,28.65
10-09-2013,28.65,29.52,27.09,29.440001
11-09-2013,29.440001,31.16,28.48,29.75
12-09-2013,29.75,30.799999,26.700001,29.709999
13-09-2013,29.709999,29.709999,28.17,28.290001
16-09-2013,28.290001,29.67,25.9,28.82
17-09-2013,28.82,29.58,27.6,27.93
18-09-2013,27.93,28.49,26.99,27.690001
19-09-2013,23.620001,25.360001,23.559999,24.5
20-09-2013,24.5,26.18,23.4,24.73
23-09-2013,24.73,27.24,24.73,27.02
24-09-2013,27.02,28.49,26.27,26.719999
25-09-2013,26.719999,27.049999,25.049999,25.68
26-09-2013,25.68,25.799999,23.57,24.0
27-09-2013,24.0,25.24,23.360001,24.059999
30-09-2013,25.0,26.65,24.91,26.65
01-10-2013,26.65,28.02,25.74,25.77
03-10-2013,25.77,25.889999,24.93,25.17
04-10-2013,24.5,26.74,24.5,26.129999
07-10-2013,26.129999,27.93,26.129999,26.83
08-10-2013,26.83,27.379999,24.65,26.549999
09-10-2013,26.030001,27.16,25.75,25.870001
10-10-2013,25.870001,26.950001,25.02,25.879999
11-10-2013,23.08,25.42,23.08,23.59
14-10-2013,23.59,24.42,22.719999,22.85
15-10-2013,22.85,23.99,20.91,23.24
17-10-2013,23.24,23.24,21.02,21.059999
18-10-2013,21.059999,21.059999,19.32,20.120001
21-10-2013,19.16,21.1,19.16,20.18
22-10-2013,20.18,20.43,19.209999,19.959999
23-10-2013,19.959999,20.790001,18.76,20.35
24-10-2013,20.35,21.27,19.200001,20.639999
25-10-2013,20.639999,21.040001,19.870001,20.42
28-10-2013,20.42,21.559999,20.110001,21.290001
29-10-2013,21.290001,21.540001,19.6,19.76
30-10-2013,19.76,20.059999,18.84,19.530001
31-10-2013,19.530001,19.75,18.209999,18.389999
01-11-2013,18.389999,19.389999,17.860001,18.639999
05-11-2013,19.49,20.26,19.280001,19.940001
06-11-2013,19.940001,20.459999,18.549999,20.25
07-11-2013,20.25,20.629999,19.620001,19.870001
08-11-2013,19.870001,20.49,19.16,19.639999
11-11-2013,19.639999,20.709999,19.32,19.98
12-11-2013,19.98,20.860001,18.73,20.860001
13-11-2013,20.860001,21.120001,20.15,20.450001
14-11-2013,18.620001,19.6,18.58,19.26
18-11-2013,19.26,19.549999,17.48,18.82
19-11-2013,17.700001,19.389999,17.700001,19.299999
20-11-2013,19.299999,20.879999,18.24,20.83
21-11-2013,20.83,22.360001,19.76,21.139999
22-11-2013,21.139999,21.32,19.969999,20.040001
25-11-2013,20.040001,21.27,19.49,21.049999
26-11-2013,21.049999,22.01,20.299999,21.59
27-11-2013,21.59,22.01,20.540001,21.139999
28-11-2013,20.18,20.91,20.18,20.709999
29-11-2013,20.370001,21.530001,20.25,21.379999
02-12-2013,21.379999,23.360001,21.299999,23.360001
03-12-2013,23.360001,25.09,22.959999,24.719999
04-12-2013,24.719999,25.450001,23.34,23.709999
05-12-2013,20.58,22.07,20.08,21.68
06-12-2013,21.68,22.360001,21.08,22.209999
09-12-2013,22.209999,22.209999,18.09,19.16
10-12-2013,19.16,19.16,17.959999,17.98
11-12-2013,17.98,18.530001,17.08,17.540001
12-12-2013,17.030001,17.93,17.030001,17.74
13-12-2013,16.790001,18.0,16.790001,17.84
16-12-2013,17.84,18.76,17.540001,18.360001
17-12-2013,18.360001,18.610001,17.129999,18.33
18-12-2013,18.33,18.459999,17.059999,17.540001
19-12-2013,17.540001,17.540001,15.63,16.58
20-12-2013,16.58,16.719999,15.51,16.02
23-12-2013,16.02,17.129999,15.91,16.26
24-12-2013,16.26,16.940001,15.52,15.58
26-12-2013,15.58,16.27,14.62,14.88
27-12-2013,14.88,15.51,14.62,14.66
30-12-2013,14.66,15.52,14.66,15.08
31-12-2013,15.08,15.44,14.75,15.12
01-01-2014,15.12,15.58,15.1,15.58
02-01-2014,15.58,16.969999,15.33,16.549999
03-01-2014,16.549999,17.32,15.79,15.87
06-01-2014,15.87,16.91,15.87,16.5
07-01-2014,16.5,16.91,16.1,16.32
08-01-2014,16.32,16.48,15.82,16.32
09-01-2014,16.32,16.639999,15.9,16.18
10-01-2014,16.18,16.370001,15.02,15.58
13-01-2014,15.58,16.030001,14.61,15.95
14-01-2014,15.95,16.27,15.13,15.74
15-01-2014,15.74,15.88,14.7,15.42
16-01-2014,15.42,15.82,14.4,15.54
17-01-2014,15.54,15.83,14.1,15.41
20-01-2014,15.41,16.07,14.77,15.35
21-01-2014,15.35,15.71,13.88,15.55
22-01-2014,15.55,15.87,14.92,15.85
23-01-2014,15.85,16.030001,15.14,15.58
24-01-2014,15.58,16.18,15.24,15.83
27-01-2014,15.83,18.67,15.83,18.67
28-01-2014,18.67,18.719999,17.610001,17.719999
29-01-2014,17.719999,18.15,16.73,18.040001
30-01-2014,18.040001,18.34,17.07,17.25
31-01-2014,17.25,17.33,16.639999,16.82
03-02-2014,16.82,18.34,16.82,18.27
04-02-2014,18.27,19.82,18.049999,18.690001
05-02-2014,18.690001,20.09,17.74,18.93
06-02-2014,18.93,20.23,18.0,18.940001
07-02-2014,18.940001,19.110001,17.700001,18.549999
10-02-2014,18.549999,19.200001,17.58,19.049999
11-02-2014,19.049999,19.049999,17.4,18.629999
12-02-2014,18.629999,18.629999,16.120001,17.43
13-02-2014,17.43,17.959999,15.22,17.799999
14-02-2014,17.799999,17.83,15.61,16.66
17-02-2014,16.66,17.02,15.54,15.83
18-02-2014,15.83,15.83,13.68,15.41
19-02-2014,15.41,15.41,14.05,15.07
20-02-2014,15.07,15.72,14.27,15.16
21-02-2014,15.16,15.16,13.88,14.04
24-02-2014,14.04,14.83,13.69,14.36
25-02-2014,14.36,14.36,13.53,13.95
26-02-2014,13.95,14.2,13.24,13.95
28-02-2014,13.96,14.87,13.55,14.18
03-03-2014,14.18,15.73,13.94,15.28
04-03-2014,15.28,15.37,13.93,14.39
05-03-2014,14.39,14.43,13.34,13.84
06-03-2014,13.84,14.64,12.5,14.48
07-03-2014,14.48,16.91,13.26,16.719999
10-03-2014,16.719999,17.99,15.95,17.780001
11-03-2014,17.780001,17.92,14.27,17.33
12-03-2014,17.33,17.440001,16.09,17.040001
13-03-2014,17.040001,17.08,14.65,16.82
14-03-2014,16.82,17.290001,14.29,16.450001
18-03-2014,16.450001,17.559999,15.73,17.129999
19-03-2014,17.129999,17.33,15.67,16.879999
20-03-2014,16.879999,17.15,15.41,16.91
21-03-2014,16.91,16.91,14.39,16.18
24-03-2014,15.88,17.200001,15.24,16.540001
25-03-2014,16.540001,17.129999,15.42,16.92
26-03-2014,16.92,18.25,15.72,17.77
27-03-2014,17.77,18.73,17.24,18.370001
28-03-2014,18.370001,19.15,17.1,18.629999
31-03-2014,18.629999,21.799999,17.49,21.620001
01-04-2014,21.620001,21.67,19.540001,20.690001
02-04-2014,20.690001,21.299999,16.860001,21.209999
03-04-2014,21.209999,22.309999,17.309999,22.110001
04-04-2014,22.110001,22.83,16.67,22.690001
07-04-2014,22.690001,25.49,17.690001,24.950001
09-04-2014,24.950001,27.09,22.389999,26.91
10-04-2014,26.91,29.709999,21.110001,28.719999
11-04-2014,28.719999,29.48,20.83,29.190001
15-04-2014,29.184999,32.619999,22.872499,31.875
16-04-2014,31.875,32.077499,21.674999,31.16
17-04-2014,31.16,31.33,21.645,30.852501
21-04-2014,30.852501,38.0425,30.852501,34.384998
22-04-2014,34.384998,37.23,32.939999,33.355
23-04-2014,33.355,34.25,28.07,31.1325
25-04-2014,31.1325,32.98,30.115,30.68
28-04-2014,30.68,31.924999,30.502501,31.385
29-04-2014,31.385,32.435001,30.4925,31.049999
30-04-2014,31.049999,31.4625,30.025,30.592501
02-05-2014,30.592501,33.422501,29.182501,33.055
05-05-2014,33.055,35.305,30.987499,34.1875
06-05-2014,34.1875,34.302502,31.365,33.267502
07-05-2014,33.267502,34.455002,30.3125,33.612499
08-05-2014,33.612499,35.009998,29.610001,34.299999
09-05-2014,34.299999,38.9575,32.677502,37.705002
12-05-2014,37.705002,39.299999,33.814999,37.105
13-05-2014,37.105,37.105,28.245001,32.047501
14-05-2014,32.047501,32.994999,28.610001,32.419998
15-05-2014,32.419998,37.48,31.137501,36.764999
16-05-2014,36.764999,36.764999,21.737499,24.2925
